VCD info: dumpfile angle_interpolator.vcd opened for output.
time=2450000 | tooth=30 | elapsed=0 | angle=178
time=2470000 | tooth=30 | elapsed=250 | angle=180
time=2490000 | tooth=30 | elapsed=500 | angle=181
time=2510000 | tooth=30 | elapsed=750 | angle=183
time=2530000 | tooth=31 | elapsed=0 | angle=184
time=2550000 | tooth=31 | elapsed=250 | angle=186
time=2570000 | tooth=31 | elapsed=500 | angle=187
time=2590000 | tooth=31 | elapsed=750 | angle=189
time=2610000 | tooth=32 | elapsed=0 | angle=190
time=2630000 | tooth=32 | elapsed=250 | angle=192
time=2650000 | tooth=32 | elapsed=500 | angle=193
time=2670000 | tooth=32 | elapsed=750 | angle=195
time=2690000 | tooth=33 | elapsed=0 | angle=196
time=2710000 | tooth=33 | elapsed=250 | angle=198
time=2730000 | tooth=33 | elapsed=500 | angle=199
time=2750000 | tooth=33 | elapsed=750 | angle=201
time=2770000 | tooth=34 | elapsed=0 | angle=202
time=2790000 | tooth=34 | elapsed=250 | angle=204
time=2810000 | tooth=34 | elapsed=500 | angle=205
time=2830000 | tooth=34 | elapsed=750 | angle=207
time=2850000 | tooth=35 | elapsed=0 | angle=208
time=2870000 | tooth=35 | elapsed=250 | angle=210
time=2890000 | tooth=35 | elapsed=500 | angle=211
time=2910000 | tooth=35 | elapsed=750 | angle=213
time=2930000 | tooth=36 | elapsed=0 | angle=214
time=2950000 | tooth=36 | elapsed=250 | angle=216
time=2970000 | tooth=36 | elapsed=500 | angle=217
time=2990000 | tooth=36 | elapsed=750 | angle=219
time=3010000 | tooth=37 | elapsed=0 | angle=220
time=3030000 | tooth=37 | elapsed=250 | angle=222
time=3050000 | tooth=37 | elapsed=500 | angle=223
time=3070000 | tooth=37 | elapsed=750 | angle=225
time=3090000 | tooth=38 | elapsed=0 | angle=226
time=3110000 | tooth=38 | elapsed=250 | angle=228
time=3130000 | tooth=38 | elapsed=500 | angle=229
time=3150000 | tooth=38 | elapsed=750 | angle=231
time=3170000 | tooth=39 | elapsed=0 | angle=232
time=3190000 | tooth=39 | elapsed=250 | angle=234
time=3210000 | tooth=39 | elapsed=500 | angle=235
time=3230000 | tooth=39 | elapsed=750 | angle=237
time=3250000 | tooth=40 | elapsed=0 | angle=238
time=3270000 | tooth=40 | elapsed=250 | angle=240
time=3290000 | tooth=40 | elapsed=500 | angle=241
time=3310000 | tooth=40 | elapsed=750 | angle=243
time=3330000 | tooth=41 | elapsed=0 | angle=244
time=3350000 | tooth=41 | elapsed=250 | angle=246
time=3370000 | tooth=41 | elapsed=500 | angle=247
time=3390000 | tooth=41 | elapsed=750 | angle=249
time=3410000 | tooth=42 | elapsed=0 | angle=250
time=3430000 | tooth=42 | elapsed=250 | angle=252
time=3450000 | tooth=42 | elapsed=500 | angle=253
time=3470000 | tooth=42 | elapsed=750 | angle=255
time=3490000 | tooth=43 | elapsed=0 | angle=256
time=3510000 | tooth=43 | elapsed=250 | angle=258
time=3530000 | tooth=43 | elapsed=500 | angle=259
time=3550000 | tooth=43 | elapsed=750 | angle=261
time=3570000 | tooth=44 | elapsed=0 | angle=262
time=3590000 | tooth=44 | elapsed=250 | angle=264
time=3610000 | tooth=44 | elapsed=500 | angle=265
time=3630000 | tooth=44 | elapsed=750 | angle=267
time=3650000 | tooth=45 | elapsed=0 | angle=268
time=3670000 | tooth=45 | elapsed=250 | angle=270
time=3690000 | tooth=45 | elapsed=500 | angle=271
time=3710000 | tooth=45 | elapsed=750 | angle=273
time=3730000 | tooth=46 | elapsed=0 | angle=274
time=3750000 | tooth=46 | elapsed=250 | angle=276
time=3770000 | tooth=46 | elapsed=500 | angle=277
time=3790000 | tooth=46 | elapsed=750 | angle=279
time=3810000 | tooth=47 | elapsed=0 | angle=280
time=3830000 | tooth=47 | elapsed=250 | angle=282
time=3850000 | tooth=47 | elapsed=500 | angle=283
time=3870000 | tooth=47 | elapsed=750 | angle=285
time=3890000 | tooth=48 | elapsed=0 | angle=286
time=3910000 | tooth=48 | elapsed=250 | angle=288
time=3930000 | tooth=48 | elapsed=500 | angle=289
time=3950000 | tooth=48 | elapsed=750 | angle=291
time=3970000 | tooth=49 | elapsed=0 | angle=292
time=3990000 | tooth=49 | elapsed=250 | angle=294
time=4010000 | tooth=49 | elapsed=500 | angle=295
time=4030000 | tooth=49 | elapsed=750 | angle=297
time=4050000 | tooth=50 | elapsed=0 | angle=298
time=4070000 | tooth=50 | elapsed=250 | angle=300
time=4090000 | tooth=50 | elapsed=500 | angle=301
time=4110000 | tooth=50 | elapsed=750 | angle=303
time=4130000 | tooth=51 | elapsed=0 | angle=304
time=4150000 | tooth=51 | elapsed=250 | angle=306
time=4170000 | tooth=51 | elapsed=500 | angle=307
time=4190000 | tooth=51 | elapsed=750 | angle=309
time=4210000 | tooth=52 | elapsed=0 | angle=310
